County,Predicted Turnout
"('cumberland', 'tennessee')",0.45312251252889446
"('harvey', 'kansas')",0.2065545031542266
"('washington', 'oregon')",0.5016439223943718
"('clayton', 'georgia')",0.44521722252773915
"('harrison', 'iowa')",0.5506320408907427
"('linn', 'iowa')",0.4820424383294594
"('laurel', 'kentucky')",0.3678155522163787
"('wayne', 'indiana')",0.3800038647413118
"('matagorda', 'texas')",0.4345836148464573
"('frederick', 'maryland')",0.3948776922088805
"('jefferson', 'kentucky')",0.5794621026894865
"('rapides', 'louisiana')",N/A
"('bay', 'michigan')",0.3981894935763598
"('carver', 'minnesota')",0.46365850966388916
"('rockland', 'new york')",0.46851306126441034
"('bergen', 'new jersey')",0.5292641201609015
"('palo alto', 'iowa')",0.5396462988860032
"('jersey', 'illinois')",0.4602297841966885
"('chester', 'south carolina')",0.45934615372576354
"('kane', 'illinois')",0.49039402855372666
"('cochise', 'arizona')",0.48897556203458775
"('winnebago', 'wisconsin')",0.47970389413532116
"('jackson', 'missouri')",0.46707380307656854
"('briston', 'virginia')",0.42664318928908246
"('mahoning', 'ohio')",0.3588113103565221
"('san patricio', 'texas')",0.45925971150663714
"('cobb', 'georgia')",0.33680323243722543
"('mississippi', 'missouri')",0.38025231163948586
"('cheyenne', 'kansas')",0.35471487401409924
"('carbon', 'utah')",0.4518099547511312
"('montgomery', 'tennessee')",0.6334244080145719
"('pendleton', 'kentucky')",0.43088350815581533
"('fairfax', 'virginia')",0.40632905350579923
"('scott', 'minnesota')",0.42859605769783343
"('ingham', 'michigan')",0.5315446695120368
"('hancock', 'maine')",0.48954584587742705
"('whatcom', 'washington')",0.45389721396559424
"('hamilton', 'ohio')",0.5656111256551496
"('santa fe', 'new mexico')",0.4520355217136177
"('marion', 'florida')",0.6089155492825218
"('elk', 'pennsylvania')",0.6645702306079665
"('scott', 'iowa')",0.33680323243722543
"('brazos', 'texas')",0.49624829467939974
"('crow wing', 'minnesota')",0.5656111256551496
"('payne', 'oklahoma')",0.4171413775245987
"('yuma', 'colorado')",0.41092993314206167
"('portsmouth', 'virginia')",0.45526862570495696
"('jasper', 'south carolina')",0.3455745317894351
"('marshall', 'tennessee')",0.41092993314206167
"('saratoga', 'new york')",0.5309869261599314
"('madison', 'mississippi')",0.5297401502068356
"('caddo', 'louisiana')",0.3977315512048193
"('boise', 'idaho')",0.4602297841966885
"('goochland', 'virginia')",0.6472831267874166
"('dickinson', 'iowa')",0.37863011081390907
"('walworth', 'wisconsin')",0.4734016718218768
"('cass', 'indiana')",0.4518099547511312
"('lexington', 'south carolina')",0.47708719164382546
"('isabella', 'michigan')",0.39715518619146556
"('grant', 'kentucky')",0.43024096800486755
"('angelina', 'texas')",0.5562076292623698
"('greenville', 'south carolina')",0.5760505779077105
"('marin', 'california')",0.41692290171962193
"('creek', 'oklahoma')",0.3695365416086096
"('st. johns', 'florida')",0.3026536781995297
"('lake', 'florida')",0.41692290171962193
"('hutchinson', 'texas')",0.4361060013796275
"('falls church', 'virginia')",0.34055161453995425
"('montrose', 'colorado')",0.5396462988860032
"('louis', 'minnesota')",0.36151746211051494
"('barren', 'kentucky')",0.4526823707199385
"('hill', 'texas')",0.5383258445664836
"('new london', 'connecticut')",0.4526823707199385
"('la crosse', 'wisconsin')",0.4691803941085745
"('seneca', 'ohio')",0.40523546416909884
"('chittenden', 'vermont')",0.4712314939434724
"('champaign', 'ohio')",0.5376665360501567
"('san miguel', 'colorado')",0.4563947223486028
"('brookings', 'south dakota')",0.3707143664402914
"('vance', 'north carolina')",0.43135528911822735
"('meriwether', 'georgia')",0.41459705355276794
