state,county,candidate,total votes,turnout rate
colorado,lake,Hillary Clinton,3199,0.42985756517065304
colorado,la plata,Hillary Clinton,31150,0.5696052078190429
colorado,larimer,Hillary Clinton,195980,0.5879935074091742
colorado,las animas,Hillary Clinton,6793,0.4837285480310475
colorado,lincoln,Hillary Clinton,2436,0.4394732094533646
colorado,logan,Hillary Clinton,9722,0.43262726949092206
colorado,mesa,Hillary Clinton,77653,0.5245938186117209
colorado,mineral,Hillary Clinton,652,0.8763440860215054
colorado,moffat,Hillary Clinton,6525,0.5042893577556226
colorado,montezuma,Hillary Clinton,12858,0.5
colorado,montrose,Hillary Clinton,21186,0.5223115231004388
colorado,morgan,Hillary Clinton,11960,0.42333286139034404
colorado,otero,Hillary Clinton,8452,0.46485535144648554
colorado,ouray,Hillary Clinton,3310,0.7183159722222222
colorado,park,Hillary Clinton,10417,0.6228028219538443
colorado,phillips,Hillary Clinton,2332,0.5389415299283569
colorado,pitkin,Hillary Clinton,10523,0.5865663322185062
colorado,prowers,Hillary Clinton,5016,0.4202412868632708
colorado,pueblo,Hillary Clinton,78646,0.4824730378022895
colorado,rio blanco,Hillary Clinton,3450,0.5325717814140166
colorado,rio grande,Hillary Clinton,5534,0.48749119097956306
colorado,routt,Hillary Clinton,13986,0.5741379310344827
colorado,saguache,Hillary Clinton,2835,0.4533823764592995
colorado,san juan,Hillary Clinton,506,0.7343976777939042
colorado,san miguel,Hillary Clinton,4329,0.5524502297090352
colorado,sedgwick,Hillary Clinton,1364,0.5747998314369995
colorado,summit,Hillary Clinton,16174,0.5383258445664836
colorado,teller,Hillary Clinton,14444,0.6175816658115273
colorado,washington,Hillary Clinton,2733,0.5710405348934392
colorado,weld,Hillary Clinton,135428,0.4738243433781519
colorado,yuma,Hillary Clinton,4791,0.47733386470060774
connecticut,fairfield,Hillary Clinton,421209,0.4457506960737314
connecticut,hartford,Hillary Clinton,406864,0.45394236240502517
connecticut,litchfield,Hillary Clinton,97442,0.5292251876473208
connecticut,new haven,Hillary Clinton,379006,0.4406093565810185
connecticut,new london,Hillary Clinton,123528,0.4581287365188625
connecticut,tolland,Hillary Clinton,77424,0.5102613784649452
connecticut,windham,Hillary Clinton,50823,0.43629761260913236
delaware,kent,Hillary Clinton,74598,0.43088350815581533
delaware,new castle,Hillary Clinton,262391,0.4740680918104819
delaware,sussex,Hillary Clinton,106008,0.493896643619896
florida,alachua,Hillary Clinton,128571,0.49631348146318116
florida,baker,Hillary Clinton,12634,0.46185340888320237
florida,bay,Hillary Clinton,87453,0.4818665696905581
florida,bradford,Hillary Clinton,12098,0.4522954987288769
florida,brevard,Hillary Clinton,314752,0.5563486087396111
florida,broward,Hillary Clinton,831951,0.4413439502610024
florida,calhoun,Hillary Clinton,6081,0.422115785089546
florida,charlotte,Hillary Clinton,96374,0.5590722929308164
florida,citrus,Hillary Clinton,79700,0.5681210661002088
florida,clay,Hillary Clinton,106483,0.5261225740147832
florida,collier,Hillary Clinton,170789,0.47968913692524173
florida,columbia,Hillary Clinton,28707,0.420788015596142
florida,desoto,Hillary Clinton,10818,0.3034672351885099
florida,dixie,Hillary Clinton,7202,0.44040848773925273
florida,duval,Hillary Clinton,432695,0.4751871887965666
florida,escambia,Hillary Clinton,152469,0.49293106291079203
florida,flagler,Hillary Clinton,57503,0.5506051553104293
florida,franklin,Hillary Clinton,6015,0.5137951652857264
florida,gadsden,Hillary Clinton,22113,0.48009118541033435
florida,gilchrist,Hillary Clinton,8420,0.48452065830360225
florida,glades,Hillary Clinton,4353,0.33231544392701734
florida,gulf,Hillary Clinton,7293,0.4578441835645678
florida,hamilton,Hillary Clinton,5460,0.38256726457399104
florida,hardee,Hillary Clinton,7583,0.27902270302093685
florida,hendry,Hillary Clinton,11115,0.28319914390542195
florida,hernando,Hillary Clinton,93796,0.5272400224845418
florida,highlands,Hillary Clinton,45686,0.4562349581073929
florida,hillsborough,Hillary Clinton,597660,0.43814370638521544
florida,holmes,Hillary Clinton,8514,0.4417578996523634
florida,indian river,Hillary Clinton,80009,0.5426767231439152
florida,jackson,Hillary Clinton,21041,0.4328622271595795
florida,jefferson,Hillary Clinton,7645,0.5416223875309953
florida,lafayette,Hillary Clinton,3392,0.38881247134342045
florida,lake,Hillary Clinton,170462,0.5242500476697196
florida,lee,Hillary Clinton,326420,0.46655156050791546
florida,leon,Hillary Clinton,152132,0.5321086798365885
florida,levy,Hillary Clinton,19395,0.48976035958687913
florida,liberty,Hillary Clinton,3296,0.39196099417290997
florida,madison,Hillary Clinton,8505,0.4602770862647473
florida,manatee,Hillary Clinton,178958,0.4936118803579112
florida,marion,Hillary Clinton,174700,0.5105470188379283
florida,martin,Hillary Clinton,85792,0.5515077880418362
florida,miami-dade,Hillary Clinton,980204,0.36852004952179435
florida,monroe,Hillary Clinton,42478,0.5541958041958042
florida,nassau,Hillary Clinton,46607,0.5979012456543213
florida,okaloosa,Hillary Clinton,100855,0.5100178004328741
florida,okeechobee,Hillary Clinton,13653,0.3425754002107693
florida,orange,Hillary Clinton,546275,0.42304234256768947
florida,osceola,Hillary Clinton,140206,0.4330874539748437
florida,palm beach,Hillary Clinton,662332,0.4650371843264132
florida,pasco,Hillary Clinton,241139,0.48725285161498905
florida,pinellas,Hillary Clinton,492403,0.519927987667096
florida,polk,Hillary Clinton,284314,0.43840233885305535
florida,putnam,Hillary Clinton,33117,0.4603483506859979
florida,st. johns,Hillary Clinton,136514,0.603078255184174
florida,st. lucie,Hillary Clinton,140847,0.4737824691706864
florida,santa rosa,Hillary Clinton,87745,0.5278656768495903
florida,sarasota,Hillary Clinton,229063,0.5659216179424401
florida,seminole,Hillary Clinton,224896,0.5016439223943718
florida,sumter,Hillary Clinton,76665,0.6548310499162937
florida,suwannee,Hillary Clinton,18694,0.42800558646427184
florida,taylor,Hillary Clinton,9290,0.41556698725117425
florida,union,Hillary Clinton,5694,0.37301015394693743
florida,volusia,Hillary Clinton,260869,0.5048458576045517
florida,wakulla,Hillary Clinton,15351,0.4869777622688196
florida,walton,Hillary Clinton,33637,0.5333618748612564
florida,washington,Hillary Clinton,11156,0.4543825350276963
georgia,appling,Hillary Clinton,7012,0.3806111925310753
georgia,atkinson,Hillary Clinton,2610,0.3129496402877698
georgia,bacon,Hillary Clinton,4020,0.35793785059211114
georgia,baker,Hillary Clinton,1440,0.45084533500313084
georgia,baldwin,Hillary Clinton,16116,0.3538167687545281
georgia,banks,Hillary Clinton,6975,0.3794679288395626
georgia,barrow,Hillary Clinton,29060,0.38757518771922805
georgia,bartow,Hillary Clinton,39550,0.3875817057514969
georgia,ben hill,Hillary Clinton,5936,0.3419945843175664
georgia,berrien,Hillary Clinton,6590,0.34700647675214574
georgia,bibb,Hillary Clinton,62596,0.4066127513072851
georgia,bleckley,Hillary Clinton,4974,0.39122227465785747
georgia,brantley,Hillary Clinton,6301,0.3417584205673374
georgia,brooks,Hillary Clinton,6336,0.40433950223356735
georgia,bryan,Hillary Clinton,15173,0.4361060013796275
georgia,bulloch,Hillary Clinton,25316,0.34624432408775097
georgia,burke,Hillary Clinton,9351,0.4131760339342524
georgia,butts,Hillary Clinton,9514,0.4045068027210884
georgia,calhoun,Hillary Clinton,2025,0.30991735537190085
georgia,camden,Hillary Clinton,18901,0.3604378420641126
georgia,candler,Hillary Clinton,3763,0.3460866366228272
georgia,carroll,Hillary Clinton,44121,0.3854675391618106
georgia,catoosa,Hillary Clinton,26757,0.4067773419684393
georgia,charlton,Hillary Clinton,4016,0.30334617418234006
georgia,chatham,Hillary Clinton,112142,0.39216111400585396
georgia,chattahoochee,Hillary Clinton,1390,0.12588299221155588
georgia,chattooga,Hillary Clinton,8252,0.33133908853643845
georgia,cherokee,Hillary Clinton,112043,0.47611216637133547
georgia,clarke,Hillary Clinton,44976,0.3639983489936145
georgia,clay,Hillary Clinton,1273,0.41371465713357164
georgia,clayton,Hillary Clinton,92859,0.34049207978879437
georgia,clinch,Hillary Clinton,2455,0.359654263111632
georgia,cobb,Hillary Clinton,330819,0.44762614809242113
georgia,coffee,Hillary Clinton,13915,0.32370251471375067
georgia,colquitt,Hillary Clinton,13624,0.29965248757313157
georgia,columbia,Hillary Clinton,64743,0.4501136703351711
georgia,cook,Hillary Clinton,6057,0.35483304042179264
georgia,coweta,Hillary Clinton,61745,0.44695790654746825
georgia,crawford,Hillary Clinton,5176,0.41897361178565645
georgia,crisp,Hillary Clinton,7512,0.32719195086894026
georgia,dade,Hillary Clinton,6242,0.3862145774037867
georgia,dawson,Hillary Clinton,11765,0.503444734477299
georgia,decatur,Hillary Clinton,10286,0.3802728381825576
georgia,dekalb,Hillary Clinton,314757,0.42857084503168424
georgia,dodge,Hillary Clinton,7009,0.3315201967647337
georgia,dooly,Hillary Clinton,3859,0.27497506056719395
georgia,dougherty,Hillary Clinton,34087,0.3724825981008163
georgia,douglas,Hillary Clinton,57738,0.41190528846496827
georgia,early,Hillary Clinton,4785,0.45736952781494933
georgia,echols,Hillary Clinton,1182,0.29330024813895783
georgia,effingham,Hillary Clinton,23458,0.4109958651622398
georgia,elbert,Hillary Clinton,7987,0.41379131696197285
georgia,emanuel,Hillary Clinton,7860,0.3497841662587335
georgia,evans,Hillary Clinton,3613,0.33797942001870906
georgia,fannin,Hillary Clinton,11812,0.48326650846902874
georgia,fayette,Hillary Clinton,60913,0.5530456414959007
georgia,floyd,Hillary Clinton,34608,0.3598028819162872
georgia,forsyth,Hillary Clinton,98221,0.46495147928994085
georgia,franklin,Hillary Clinton,8502,0.38182063142767325
georgia,fulton,Hillary Clinton,431391,0.4291905401009027
georgia,gilmer,Hillary Clinton,12773,0.4327776648370265
georgia,glascock,Hillary Clinton,1390,0.4602649006622517
georgia,glynn,Hillary Clinton,34263,0.4112662193467849
georgia,gordon,Hillary Clinton,18959,0.33660606491016265
georgia,grady,Hillary Clinton,9213,0.3672127227071625
georgia,greene,Hillary Clinton,8852,0.532707468255401
georgia,gwinnett,Hillary Clinton,328331,0.3695365416086096
georgia,habersham,Hillary Clinton,16243,0.3709124954329558
georgia,hall,Hillary Clinton,70694,0.36772867954953314
georgia,hancock,Hillary Clinton,3580,0.41734670086267195
georgia,haralson,Hillary Clinton,11357,0.39568671172740577
georgia,harris,Hillary Clinton,16502,0.49772281707133165
georgia,hart,Hillary Clinton,10117,0.39815033451397086
georgia,heard,Hillary Clinton,4223,0.36543786777431636
georgia,henry,Hillary Clinton,98766,0.4563752807119687
georgia,houston,Hillary Clinton,60079,0.40234257281195795
georgia,irwin,Hillary Clinton,3670,0.4017515051997811
georgia,jackson,Hillary Clinton,27190,0.42874262827588383
georgia,jasper,Hillary Clinton,6045,0.441789081341811
georgia,jeff davis,Hillary Clinton,5096,0.3394391527342969
georgia,jefferson,Hillary Clinton,6968,0.4377709367343092
georgia,jenkins,Hillary Clinton,3056,0.3434093718395325
georgia,johnson,Hillary Clinton,3686,0.3796868562010713
georgia,jones,Hillary Clinton,12551,0.4412995323652473
georgia,lamar,Hillary Clinton,7612,0.41741610002193463
georgia,lanier,Hillary Clinton,2871,0.27957931638913236
georgia,laurens,Hillary Clinton,19530,0.41127911384408034
georgia,lee,Hillary Clinton,14143,0.4847975868097213
georgia,liberty,Hillary Clinton,16143,0.26201489993669963
georgia,lincoln,Hillary Clinton,4102,0.5312095312095312
georgia,long,Hillary Clinton,4117,0.23315211235700534
georgia,lowndes,Hillary Clinton,37805,0.3335480227982566
georgia,lumpkin,Hillary Clinton,12425,0.39715518619146556
georgia,mcduffie,Hillary Clinton,9268,0.4318330071754729
georgia,mcintosh,Hillary Clinton,5903,0.42071128216092935
georgia,macon,Hillary Clinton,4287,0.31319403857393335
georgia,madison,Hillary Clinton,11998,0.42218234279883177
georgia,marion,Hillary Clinton,3190,0.37275064267352187
georgia,meriwether,Hillary Clinton,9217,0.4353185660983328
georgia,miller,Hillary Clinton,2544,0.43502051983584133
georgia,mitchell,Hillary Clinton,7880,0.3510178627110339
georgia,monroe,Hillary Clinton,12687,0.475026209375468
georgia,montgomery,Hillary Clinton,3576,0.3999105345560277
georgia,morgan,Hillary Clinton,9475,0.5279139737018053
georgia,murray,Hillary Clinton,12458,0.31595232056809536
georgia,muscogee,Hillary Clinton,69032,0.34741472154281283
georgia,newton,Hillary Clinton,43987,0.41938713245108883
georgia,oconee,Hillary Clinton,20149,0.5619892338158592
georgia,oglethorpe,Hillary Clinton,6674,0.4530274232962259
georgia,paulding,Hillary Clinton,64890,0.42789599667653594
georgia,peach,Hillary Clinton,10752,0.3986651835372636
georgia,pickens,Hillary Clinton,14038,0.4658216087071941
georgia,pierce,Hillary Clinton,7311,0.38289515030899757
georgia,pike,Hillary Clinton,8725,0.48675034867503486
georgia,polk,Hillary Clinton,14215,0.34496566117407235
georgia,pulaski,Hillary Clinton,3605,0.3163668275559456
georgia,putnam,Hillary Clinton,9488,0.44529966677617683
georgia,quitman,Hillary Clinton,1044,0.4589010989010989
georgia,rabun,Hillary Clinton,7992,0.4926339148123035
georgia,randolph,Hillary Clinton,2899,0.40545454545454546
georgia,richmond,Hillary Clinton,75515,0.37485542389960835
georgia,rockdale,Hillary Clinton,37869,0.4286053828915499
georgia,schley,Hillary Clinton,1909,0.3664810904204262
georgia,screven,Hillary Clinton,5715,0.40650117362543564
georgia,seminole,Hillary Clinton,3588,0.41891418563922944
georgia,spalding,Hillary Clinton,25704,0.40277037826318596
georgia,stephens,Hillary Clinton,9815,0.3857187770179989
