state,county,candidate,total votes
georgia,carroll,trump,54472
georgia,newton,biden,54234
georgia,clarke,biden,51346
georgia,walton,trump,51093
georgia,bartow,trump,50464
georgia,lowndes,trump,46355
georgia,rockdale,biden,44681
georgia,glynn,trump,41988
georgia,floyd,trump,41341
georgia,barrow,trump,37921
georgia,jackson,trump,37675
georgia,whitfield,trump,36766
georgia,dougherty,biden,35287
georgia,catoosa,trump,32593
georgia,effingham,trump,31571
georgia,spalding,trump,30211
georgia,bulloch,trump,30090
georgia,troup,trump,30047
georgia,walker,trump,29354
georgia,oconee,trump,25168
georgia,gordon,trump,24033
georgia,camden,trump,23686
georgia,laurens,trump,22731
georgia,thomas,trump,21872
georgia,liberty,biden,21394
georgia,bryan,trump,21335
georgia,habersham,trump,20431
georgia,harris,trump,19991
georgia,baldwin,biden,18251
georgia,polk,trump,17396
georgia,pickens,trump,17167
georgia,lee,trump,16714
georgia,gilmer,trump,16525
georgia,tift,trump,16279
georgia,colquitt,trump,16086
georgia,dawson,trump,16081
georgia,monroe,trump,15590
georgia,union,trump,15558
georgia,lumpkin,trump,15531
georgia,murray,trump,15389
georgia,coffee,trump,15214
georgia,madison,trump,14937
georgia,jones,trump,14934
georgia,fannin,trump,14849
georgia,white,trump,14816
georgia,haralson,trump,14246
georgia,upson,trump,12905
georgia,wayne,trump,12779
georgia,hart,trump,12728
georgia,peach,trump,12553
georgia,sumter,biden,12148
georgia,stephens,trump,11885
georgia,putnam,trump,11855
georgia,butts,trump,11771
georgia,morgan,trump,11706
georgia,decatur,trump,11625
georgia,greene,trump,11244
georgia,toombs,trump,10914
georgia,meriwether,trump,10877
georgia,franklin,trump,10765
georgia,pike,trump,10720
georgia,grady,trump,10707
georgia,burke,trump,10683
georgia,mcduffie,trump,10455
georgia,chattooga,trump,10050
georgia,rabun,trump,9568
georgia,emanuel,trump,9505
georgia,washington,biden,9477
georgia,worth,trump,9285
georgia,elbert,trump,9171
georgia,pierce,trump,9047
georgia,lamar,trump,9045
georgia,mitchell,trump,8962
georgia,banks,trump,8801
georgia,appling,trump,8390
georgia,tattnall,trump,8185
georgia,oglethorpe,trump,8133
georgia,dodge,trump,8071
georgia,crisp,trump,8033
georgia,towns,trump,7979
georgia,brantley,trump,7749
georgia,berrien,trump,7743
georgia,jasper,trump,7644
georgia,jefferson,biden,7639
georgia,dade,trump,7434
georgia,brooks,trump,7101
georgia,cook,trump,7035
georgia,mcintosh,trump,6696
georgia,screven,trump,6627
georgia,ben hill,trump,6564
georgia,crawford,trump,6102
georgia,jeff davis,trump,5771
georgia,bleckley,trump,5708
georgia,long,trump,5657
georgia,heard,trump,5394
georgia,early,trump,5188
georgia,wilkes,trump,5030
georgia,wilkinson,trump,4770
georgia,bacon,trump,4667
georgia,macon,biden,4663
georgia,lincoln,trump,4641
georgia,charlton,trump,4568
georgia,twiggs,trump,4444
georgia,candler,trump,4431
georgia,terrell,biden,4416
georgia,telfair,trump,4334
georgia,evans,trump,4247
georgia,irwin,trump,4168
georgia,hancock,biden,4153
georgia,dooly,trump,4105
georgia,johnson,trump,4100
georgia,pulaski,trump,4081
georgia,montgomery,trump,3967
georgia,seminole,trump,3888
georgia,taylor,trump,3842
georgia,turner,trump,3791
georgia,marion,trump,3625
georgia,lanier,trump,3576
georgia,talbot,biden,3522
georgia,jenkins,trump,3455
georgia,wilcox,trump,3279
georgia,atkinson,trump,3155
georgia,treutlen,trump,3077
georgia,randolph,biden,3073
georgia,clinch,trump,2861
georgia,miller,trump,2834
georgia,wheeler,trump,2285
georgia,schley,trump,2275
georgia,calhoun,biden,2198
georgia,stewart,biden,1990
georgia,glascock,trump,1565
georgia,baker,trump,1555
georgia,echols,trump,1441
georgia,clay,biden,1435
georgia,webster,trump,1391
georgia,quitman,trump,1106
georgia,taliaferro,biden,928
hawaii,honolulu,biden,382114
hawaii,hawaii,biden,87814
hawaii,maui,biden,71044
hawaii,kauai,biden,33497
idaho,ada,trump,259700
idaho,adams,trump,2586
idaho,bannock,trump,39587
idaho,bear lake,trump,3316
idaho,benewah,trump,4975
idaho,bingham,trump,19996
idaho,blaine,biden,13288
idaho,boise,trump,4822
idaho,bonner,trump,27352
idaho,bonneville,trump,54034
idaho,boundary,trump,6317
idaho,butte,trump,1415
idaho,camas,trump,754
idaho,canyon,trump,90457
idaho,caribou,trump,3416
idaho,cassia,trump,9632
idaho,clark,trump,311
idaho,clearwater,trump,4419
idaho,custer,trump,2739
idaho,elmore,trump,10213
idaho,franklin,trump,6664
idaho,fremont,trump,6721
idaho,gem,trump,9960
idaho,gooding,trump,6052
idaho,idaho county,trump,9610
idaho,jefferson,trump,14180
idaho,jerome,trump,7815
idaho,kootenai,trump,89511
idaho,latah,biden,20610
idaho,lemhi,trump,4739
idaho,lewis,trump,1870
idaho,lincoln,trump,1941
idaho,madison,trump,17137
idaho,minidoka,trump,7993
idaho,nez perce,trump,20985
idaho,oneida,trump,2452
idaho,owyhee,trump,4743
idaho,payette,trump,11293
idaho,power,trump,3076
idaho,shoshone,trump,6049
idaho,teton,biden,6362
idaho,twin falls,trump,36512
idaho,valley,trump,7063
idaho,washington,trump,5346
illinois,pulaski,trump,2624
illinois,jackson,biden,22643
illinois,hardin,trump,2162
illinois,alexander,trump,2618
illinois,saline,trump,11066
illinois,gallatin,trump,2674
illinois,franklin,trump,18626
illinois,pope,trump,2175
illinois,knox,trump,23143
illinois,white,trump,7421
illinois,edwards,trump,3366
illinois,marion,trump,17458
illinois,jefferson,trump,17404
illinois,perry,trump,10053
illinois,wayne,trump,8486
illinois,wabash,trump,5593
illinois,champaign,biden,95142
illinois,vermilion,trump,31584
illinois,mcdonough,trump,12285
illinois,hamilton,trump,4315
illinois,henderson,trump,3647
illinois,morgan,trump,15309
illinois,mercer,trump,8893
illinois,edgar,trump,8196
illinois,cass,trump,5317
illinois,scott,trump,2737
illinois,cook,biden,2325405
illinois,sangamon,trump,104752
illinois,bureau,trump,17434
illinois,christian,trump,16204
illinois,randolph,trump,14891
illinois,lawrence,trump,6411
illinois,cumberland,trump,5832
illinois,stark,trump,2883
illinois,mclean,biden,87002
illinois,fulton,trump,16678
illinois,lee,trump,16397
illinois,montgomery,trump,13727
illinois,douglas,trump,8738
illinois,clark,trump,8356
illinois,washington,trump,7902
illinois,marshall,trump,6334
illinois,brown,trump,2521
illinois,whiteside,trump,27375
illinois,macoupin,trump,24022
illinois,iroquois,trump,14025
illinois,crawford,trump,9425
illinois,moultrie,trump,6744
illinois,calhoun,trump,2772
illinois,lasalle,trump,53591
illinois,jersey,trump,11937
illinois,ford,trump,6953
illinois,clay,trump,6886
illinois,jasper,trump,5576
illinois,dupage,biden,485104
illinois,will,biden,345105
illinois,lake,biden,334177
illinois,kane,biden,231876
illinois,mchenry,trump,163879
illinois,madison,trump,137139
illinois,st. clair,biden,128091
illinois,winnebago,biden,127709
illinois,peoria,biden,83973
illinois,tazewell,trump,69052
illinois,rock island,biden,66758
illinois,kendall,biden,63974
illinois,kankakee,trump,49902
illinois,macon,trump,49390
illinois,dekalb,biden,47825
illinois,williamson,trump,33653
illinois,adams,trump,33527
illinois,grundy,trump,26691
illinois,ogle,trump,26272
illinois,henry,trump,25635
illinois,boone,trump,24979
illinois,coles,trump,22606
illinois,stephenson,trump,22048
illinois,woodford,trump,21432
illinois,monroe,trump,21148
illinois,clinton,trump,19170
illinois,effingham,trump,19049
illinois,livingston,trump,17174
illinois,logan,trump,13294
illinois,jodaviess,trump,12496
illinois,shelby,trump,12097
illinois,fayette,trump,10056
illinois,piatt,trump,9822
illinois,hancock,trump,9383
illinois,union,trump,8886
illinois,bond,trump,8145
illinois,richland,trump,8063
illinois,carroll,trump,8024
illinois,dewitt,trump,8024
illinois,pike,trump,7949
illinois,warren,trump,7909
illinois,menard,trump,6928
illinois,massac,trump,6813
illinois,mason,trump,6766
illinois,johnson,trump,6437
illinois,greene,trump,6227
illinois,schuyler,trump,3906
illinois,putnam,trump,3390
indiana,henry,trump,21030
indiana,ohio,trump,3164
indiana,marion,biden,389619
indiana,lake,biden,219956
indiana,hamilton,trump,193999
indiana,allen,trump,169082
indiana,st. joseph,biden,115238
indiana,hendricks,trump,88505
indiana,porter,trump,86509
indiana,vanderburgh,trump,77662
indiana,johnson,trump,77618
indiana,elkhart,trump,74387
indiana,tippecanoe,biden,71448
indiana,monroe,biden,63151
indiana,clark,trump,57869
indiana,madison,trump,51793
indiana,laporte,trump,49392
indiana,delaware,trump,48191
indiana,vigo,trump,43594
indiana,hancock,trump,42911
indiana,floyd,trump,41802
indiana,howard,trump,40630
indiana,boone,trump,38520
indiana,bartholomew,trump,36235
indiana,morgan,trump,36159
indiana,kosciusko,trump,35787
indiana,warrick,trump,33829
indiana,wayne,trump,27679
indiana,grant,trump,27159
indiana,dearborn,trump,25383
indiana,dubois,trump,21770
indiana,lawrence,trump,21025
indiana,harrison,trump,20236
indiana,shelby,trump,19991
indiana,marshall,trump,19927
indiana,dekalb,trump,19628
indiana,jackson,trump,19238
indiana,noble,trump,19190
indiana,huntington,trump,17829
indiana,whitley,trump,17556
indiana,montgomery,trump,17198
indiana,putnam,trump,16597
indiana,steuben,trump,16162
indiana,gibson,trump,16161
indiana,knox,trump,16011
indiana,jasper,trump,15475
indiana,cass,trump,15198
indiana,greene,trump,14784
indiana,jefferson,trump,14697
indiana,wabash,trump,14573
indiana,miami,trump,14473
indiana,ripley,trump,14271
indiana,adams,trump,14209
indiana,wells,trump,14050
indiana,posey,trump,13236
indiana,clinton,trump,12949
indiana,decatur,trump,12287
indiana,clay,trump,12267
indiana,jennings,trump,12251
indiana,washington,trump,12139
indiana,franklin,trump,12000
indiana,daviess,trump,11954
indiana,white,trump,11166
indiana,randolph,trump,11070
indiana,spencer,trump,10769
indiana,lagrange,trump,10633
indiana,starke,trump,10290
indiana,scott,trump,10167
indiana,fayette,trump,10136
indiana,owen,trump,9904
indiana,carroll,trump,9495
indiana,fulton,trump,9147
indiana,sullivan,trump,8994
indiana,brown,trump,8981
indiana,orange,trump,8832
indiana,perry,trump,8722
indiana,jay,trump,8461
indiana,tipton,trump,8116
indiana,fountain,trump,7986
indiana,rush,trump,7932
indiana,vermillion,trump,7481
indiana,parke,trump,7013
indiana,newton,trump,6591
indiana,pike,trump,6220
indiana,pulaski,trump,5806
indiana,blackford,trump,5350
indiana,martin,trump,5144
indiana,crawford,trump,4944
indiana,warren,trump,4472
indiana,switzerland,trump,4154
indiana,benton,trump,4114
indiana,union,trump,3483
iowa,allamakee,trump,7422
iowa,polk,biden,258755
iowa,linn,biden,127458
iowa,scott,biden,92599
iowa,johnson,biden,83851
iowa,black hawk,biden,66593
iowa,dallas,trump,56022
iowa,dubuque,trump,53926
iowa,story,biden,51038
iowa,pottawattamie,trump,45744
iowa,woodbury,trump,45362
iowa,warren,trump,31039
iowa,clinton,trump,24687
iowa,cerro gordo,trump,23801
iowa,muscatine,trump,20671
iowa,jasper,trump,20184
iowa,des moines,trump,19956
iowa,marion,trump,19232
iowa,sioux,trump,19051
iowa,marshall,trump,18136
iowa,webster,trump,17822
iowa,lee,trump,16734
iowa,wapello,trump,15633
iowa,boone,trump,15340
iowa,benton,trump,14642
iowa,bremer,trump,14546
iowa,plymouth,trump,14188
iowa,winneshiek,trump,12064
