state,county,candidate,total votes
georgia,towns,Donald Trump,7979
georgia,treutlen,Donald Trump,3077
georgia,troup,Donald Trump,30047
georgia,turner,Donald Trump,3791
georgia,twiggs,Donald Trump,4444
georgia,union,Donald Trump,15558
georgia,upson,Donald Trump,12905
georgia,walker,Donald Trump,29354
georgia,walton,Donald Trump,51093
georgia,ware,Donald Trump,14189
georgia,warren,Joe Biden,2650
georgia,washington,Joe Biden,9477
georgia,wayne,Donald Trump,12779
georgia,webster,Donald Trump,1391
georgia,wheeler,Donald Trump,2285
georgia,white,Donald Trump,14816
georgia,whitfield,Donald Trump,36766
georgia,wilcox,Donald Trump,3279
georgia,wilkes,Donald Trump,5030
georgia,wilkinson,Donald Trump,4770
georgia,worth,Donald Trump,9285
hawaii,hawaii,Joe Biden,87814
hawaii,honolulu,Joe Biden,382114
hawaii,kauai,Joe Biden,33497
hawaii,maui,Joe Biden,71044
idaho,ada,Donald Trump,259700
idaho,adams,Donald Trump,2586
idaho,bannock,Donald Trump,39587
idaho,bear lake,Donald Trump,3316
idaho,benewah,Donald Trump,4975
idaho,bingham,Donald Trump,19996
idaho,blaine,Joe Biden,13288
idaho,boise,Donald Trump,4822
idaho,bonner,Donald Trump,27352
idaho,bonneville,Donald Trump,54034
idaho,boundary,Donald Trump,6317
idaho,butte,Donald Trump,1415
idaho,camas,Donald Trump,754
idaho,canyon,Donald Trump,90457
idaho,caribou,Donald Trump,3416
idaho,cassia,Donald Trump,9632
idaho,clark,Donald Trump,311
idaho,clearwater,Donald Trump,4419
idaho,custer,Donald Trump,2739
idaho,elmore,Donald Trump,10213
idaho,franklin,Donald Trump,6664
idaho,fremont,Donald Trump,6721
idaho,gem,Donald Trump,9960
idaho,gooding,Donald Trump,6052
idaho,jefferson,Donald Trump,14180
idaho,jerome,Donald Trump,7815
idaho,kootenai,Donald Trump,89511
idaho,latah,Joe Biden,20610
idaho,lemhi,Donald Trump,4739
idaho,lewis,Donald Trump,1870
idaho,lincoln,Donald Trump,1941
idaho,madison,Donald Trump,17137
idaho,minidoka,Donald Trump,7993
idaho,nez perce,Donald Trump,20985
idaho,oneida,Donald Trump,2452
idaho,owyhee,Donald Trump,4743
idaho,payette,Donald Trump,11293
idaho,power,Donald Trump,3076
idaho,shoshone,Donald Trump,6049
idaho,teton,Joe Biden,6362
idaho,twin falls,Donald Trump,36512
idaho,valley,Donald Trump,7063
idaho,washington,Donald Trump,5346
illinois,adams,Donald Trump,33527
illinois,alexander,Donald Trump,2618
illinois,bond,Donald Trump,8145
illinois,boone,Donald Trump,24979
illinois,brown,Donald Trump,2521
illinois,bureau,Donald Trump,17434
illinois,calhoun,Donald Trump,2772
illinois,carroll,Donald Trump,8024
illinois,cass,Donald Trump,5317
illinois,champaign,Joe Biden,95142
illinois,christian,Donald Trump,16204
illinois,clark,Donald Trump,8356
illinois,clay,Donald Trump,6886
illinois,clinton,Donald Trump,19170
illinois,coles,Donald Trump,22606
illinois,cook,Joe Biden,2325405
illinois,crawford,Donald Trump,9425
illinois,cumberland,Donald Trump,5832
illinois,dekalb,Joe Biden,47825
illinois,douglas,Donald Trump,8738
illinois,dupage,Joe Biden,485104
illinois,edgar,Donald Trump,8196
illinois,edwards,Donald Trump,3366
illinois,effingham,Donald Trump,19049
illinois,fayette,Donald Trump,10056
illinois,ford,Donald Trump,6953
illinois,franklin,Donald Trump,18626
illinois,fulton,Donald Trump,16678
illinois,gallatin,Donald Trump,2674
illinois,greene,Donald Trump,6227
illinois,grundy,Donald Trump,26691
illinois,hamilton,Donald Trump,4315
illinois,hancock,Donald Trump,9383
illinois,hardin,Donald Trump,2162
illinois,henderson,Donald Trump,3647
illinois,henry,Donald Trump,25635
illinois,iroquois,Donald Trump,14025
illinois,jackson,Joe Biden,22643
illinois,jasper,Donald Trump,5576
illinois,jefferson,Donald Trump,17404
illinois,jersey,Donald Trump,11937
illinois,johnson,Donald Trump,6437
illinois,kane,Joe Biden,231876
illinois,kankakee,Donald Trump,49902
illinois,kendall,Joe Biden,63974
illinois,knox,Donald Trump,23143
illinois,lake,Joe Biden,334177
illinois,lasalle,Donald Trump,53591
illinois,lawrence,Donald Trump,6411
illinois,lee,Donald Trump,16397
illinois,livingston,Donald Trump,17174
illinois,logan,Donald Trump,13294
illinois,macon,Donald Trump,49390
illinois,macoupin,Donald Trump,24022
illinois,madison,Donald Trump,137139
illinois,marion,Donald Trump,17458
illinois,marshall,Donald Trump,6334
