state,county,candidate,party,candidate votes,total votes
arizona,maricopa,Other,NA,117566,1567834
arizona,mohave,Hillary Clinton,democrat,17455,79943
arizona,mohave,Donald Trump,republican,58282,79943
arizona,mohave,Other,NA,4206,79943
arizona,navajo,Hillary Clinton,democrat,16459,40294
arizona,navajo,Donald Trump,republican,20577,40294
arizona,navajo,Other,NA,3258,40294
arizona,pima,Hillary Clinton,democrat,224661,421640
arizona,pima,Donald Trump,republican,167428,421640
arizona,pima,Other,NA,29551,421640
arizona,pinal,Hillary Clinton,democrat,47892,129546
arizona,pinal,Donald Trump,republican,72819,129546
arizona,pinal,Other,NA,8835,129546
arizona,santa cruz,Hillary Clinton,democrat,11690,16433
arizona,santa cruz,Donald Trump,republican,3897,16433
arizona,santa cruz,Other,NA,846,16433
arizona,yavapai,Hillary Clinton,democrat,35590,114450
arizona,yavapai,Donald Trump,republican,71330,114450
arizona,yavapai,Other,NA,7530,114450
arizona,yuma,Hillary Clinton,democrat,24605,53010
arizona,yuma,Donald Trump,republican,25165,53010
arizona,yuma,Other,NA,3240,53010
arkansas,arkansas,Hillary Clinton,democrat,1939,6212
arkansas,arkansas,Donald Trump,republican,3826,6212
arkansas,arkansas,Other,NA,447,6212
arkansas,ashley,Hillary Clinton,democrat,2408,8083
arkansas,ashley,Donald Trump,republican,5338,8083
arkansas,ashley,Other,NA,337,8083
arkansas,baxter,Hillary Clinton,democrat,4169,19766
arkansas,baxter,Donald Trump,republican,14682,19766
arkansas,baxter,Other,NA,915,19766
arkansas,benton,Hillary Clinton,democrat,28005,96824
arkansas,benton,Donald Trump,republican,60871,96824
arkansas,benton,Other,NA,7948,96824
arkansas,boone,Hillary Clinton,democrat,2926,16111
arkansas,boone,Donald Trump,republican,12235,16111
arkansas,boone,Other,NA,950,16111
arkansas,bradley,Hillary Clinton,democrat,1317,3653
arkansas,bradley,Donald Trump,republican,2164,3653
arkansas,bradley,Other,NA,172,3653
arkansas,calhoun,Hillary Clinton,democrat,639,2269
arkansas,calhoun,Donald Trump,republican,1556,2269
arkansas,calhoun,Other,NA,74,2269
arkansas,carroll,Hillary Clinton,democrat,3342,10758
arkansas,carroll,Donald Trump,republican,6786,10758
arkansas,carroll,Other,NA,630,10758
arkansas,chicot,Hillary Clinton,democrat,2350,4176
arkansas,chicot,Donald Trump,republican,1716,4176
arkansas,chicot,Other,NA,110,4176
arkansas,clark,Hillary Clinton,democrat,3620,8526
arkansas,clark,Donald Trump,republican,4404,8526
arkansas,clark,Other,NA,502,8526
arkansas,clay,Hillary Clinton,democrat,1199,5200
arkansas,clay,Donald Trump,republican,3781,5200
arkansas,clay,Other,NA,220,5200
arkansas,cleburne,Hillary Clinton,democrat,2101,12085
arkansas,cleburne,Donald Trump,republican,9458,12085
arkansas,cleburne,Other,NA,526,12085
arkansas,cleveland,Hillary Clinton,democrat,723,3354
arkansas,cleveland,Donald Trump,republican,2462,3354
arkansas,cleveland,Other,NA,169,3354
arkansas,columbia,Hillary Clinton,democrat,3140,8887
arkansas,columbia,Donald Trump,republican,5456,8887
arkansas,columbia,Other,NA,291,8887
arkansas,conway,Hillary Clinton,democrat,2656,7927
arkansas,conway,Donald Trump,republican,4849,7927
arkansas,conway,Other,NA,422,7927
arkansas,craighead,Hillary Clinton,democrat,10538,35573
arkansas,craighead,Donald Trump,republican,22892,35573
arkansas,craighead,Other,NA,2143,35573
arkansas,crawford,Hillary Clinton,democrat,4488,22450
arkansas,crawford,Donald Trump,republican,16686,22450
arkansas,crawford,Other,NA,1276,22450
arkansas,crittenden,Hillary Clinton,democrat,8410,15952
arkansas,crittenden,Donald Trump,republican,6964,15952
arkansas,crittenden,Other,NA,578,15952
arkansas,cross,Hillary Clinton,democrat,1999,6874
arkansas,cross,Donald Trump,republican,4584,6874
arkansas,cross,Other,NA,291,6874
arkansas,dallas,Hillary Clinton,democrat,1165,2771
arkansas,dallas,Donald Trump,republican,1509,2771
arkansas,dallas,Other,NA,97,2771
arkansas,desha,Hillary Clinton,democrat,2228,4257
arkansas,desha,Donald Trump,republican,1919,4257
arkansas,desha,Other,NA,110,4257
arkansas,drew,Hillary Clinton,democrat,2365,6595
arkansas,drew,Donald Trump,republican,3968,6595
arkansas,drew,Other,NA,262,6595
arkansas,faulkner,Hillary Clinton,democrat,14629,47527
arkansas,faulkner,Donald Trump,republican,29346,47527
arkansas,faulkner,Other,NA,3552,47527
arkansas,franklin,Hillary Clinton,democrat,1376,6770
arkansas,franklin,Donald Trump,republican,5039,6770
arkansas,franklin,Other,NA,355,6770
arkansas,fulton,Hillary Clinton,democrat,1067,4772
arkansas,fulton,Donald Trump,republican,3471,4772
arkansas,fulton,Other,NA,234,4772
arkansas,garland,Hillary Clinton,democrat,12311,40805
arkansas,garland,Donald Trump,republican,26087,40805
arkansas,garland,Other,NA,2407,40805
arkansas,grant,Hillary Clinton,democrat,1373,7445
arkansas,grant,Donald Trump,republican,5725,7445
arkansas,grant,Other,NA,347,7445
arkansas,greene,Hillary Clinton,democrat,3071,14600
arkansas,greene,Donald Trump,republican,10720,14600
arkansas,greene,Other,NA,809,14600
arkansas,hempstead,Hillary Clinton,democrat,2377,7049
arkansas,hempstead,Donald Trump,republican,4401,7049
arkansas,hempstead,Other,NA,271,7049
arkansas,hot spring,Hillary Clinton,democrat,3149,11944
arkansas,hot spring,Donald Trump,republican,8172,11944
arkansas,hot spring,Other,NA,623,11944
arkansas,howard,Hillary Clinton,democrat,1351,4674
arkansas,howard,Donald Trump,republican,3157,4674
arkansas,howard,Other,NA,166,4674
arkansas,independence,Hillary Clinton,democrat,2881,13614
arkansas,independence,Donald Trump,republican,9936,13614
arkansas,independence,Other,NA,797,13614
arkansas,izard,Hillary Clinton,democrat,1113,5448
arkansas,izard,Donald Trump,republican,4042,5448
arkansas,izard,Other,NA,293,5448
arkansas,jackson,Hillary Clinton,democrat,1583,5156
arkansas,jackson,Donald Trump,republican,3267,5156
arkansas,jackson,Other,NA,306,5156
arkansas,jefferson,Hillary Clinton,democrat,15772,25894
arkansas,jefferson,Donald Trump,republican,9250,25894
arkansas,jefferson,Other,NA,872,25894
arkansas,johnson,Hillary Clinton,democrat,2427,9112
arkansas,johnson,Donald Trump,republican,6091,9112
arkansas,johnson,Other,NA,594,9112
arkansas,lafayette,Hillary Clinton,democrat,1032,2860
arkansas,lafayette,Donald Trump,republican,1758,2860
arkansas,lafayette,Other,NA,70,2860
arkansas,lawrence,Hillary Clinton,democrat,1263,5685
arkansas,lawrence,Donald Trump,republican,4064,5685
arkansas,lawrence,Other,NA,358,5685
arkansas,lee,Hillary Clinton,democrat,1735,3026
arkansas,lee,Donald Trump,republican,1229,3026
arkansas,lee,Other,NA,62,3026
arkansas,lincoln,Hillary Clinton,democrat,1252,3826
arkansas,lincoln,Donald Trump,republican,2455,3826
