state,county,candidate,candidate votes,total votes
georgia,jenkins,Hillary Clinton,1123,3056
georgia,johnson,Hillary Clinton,1136,3686
georgia,jones,Hillary Clinton,3961,12551
georgia,lamar,Hillary Clinton,2270,7612
georgia,lanier,Hillary Clinton,806,2871
georgia,laurens,Hillary Clinton,6752,19530
georgia,lee,Hillary Clinton,3170,14143
georgia,liberty,Hillary Clinton,9556,16143
georgia,lincoln,Hillary Clinton,1273,4102
georgia,long,Hillary Clinton,1360,4117
georgia,lowndes,Hillary Clinton,15064,37805
georgia,lumpkin,Hillary Clinton,2220,12425
georgia,mcduffie,Hillary Clinton,3699,9268
georgia,mcintosh,Hillary Clinton,2303,5903
georgia,macon,Hillary Clinton,2705,4287
georgia,madison,Hillary Clinton,2425,11998
georgia,marion,Hillary Clinton,1213,3190
georgia,meriwether,Hillary Clinton,3804,9217
georgia,miller,Hillary Clinton,623,2544
georgia,mitchell,Hillary Clinton,3493,7880
georgia,monroe,Hillary Clinton,3571,12687
georgia,montgomery,Hillary Clinton,847,3576
georgia,morgan,Hillary Clinton,2663,9475
georgia,murray,Hillary Clinton,1800,12458
georgia,muscogee,Hillary Clinton,39851,69032
georgia,newton,Hillary Clinton,21943,43987
georgia,oconee,Hillary Clinton,5581,20149
georgia,oglethorpe,Hillary Clinton,1831,6674
georgia,paulding,Hillary Clinton,18025,64890
georgia,peach,Hillary Clinton,5100,10752
georgia,pickens,Hillary Clinton,1979,14038
georgia,pierce,Hillary Clinton,903,7311
georgia,pike,Hillary Clinton,1240,8725
georgia,polk,Hillary Clinton,2867,14215
georgia,pulaski,Hillary Clinton,1104,3605
georgia,putnam,Hillary Clinton,2758,9488
georgia,quitman,Hillary Clinton,461,1044
georgia,rabun,Hillary Clinton,1444,7992
georgia,randolph,Hillary Clinton,1598,2899
georgia,richmond,Hillary Clinton,48814,75515
georgia,rockdale,Hillary Clinton,23255,37869
georgia,schley,Hillary Clinton,401,1909
georgia,screven,Hillary Clinton,2300,5715
georgia,seminole,Hillary Clinton,1189,3588
georgia,spalding,Hillary Clinton,9357,25704
georgia,stephens,Hillary Clinton,1837,9815
georgia,stewart,Hillary Clinton,1222,2058
georgia,sumter,Hillary Clinton,5520,10974
georgia,talbot,Hillary Clinton,2002,3246
georgia,taliaferro,Hillary Clinton,545,897
georgia,tattnall,Hillary Clinton,1681,6903
georgia,taylor,Hillary Clinton,1296,3408
georgia,telfair,Hillary Clinton,1313,3796
georgia,terrell,Hillary Clinton,2267,4189
georgia,thomas,Hillary Clinton,7142,18802
georgia,tift,Hillary Clinton,4347,14219
georgia,toombs,Hillary Clinton,2338,9138
georgia,towns,Hillary Clinton,1210,6764
georgia,treutlen,Hillary Clinton,862,2703
georgia,troup,Hillary Clinton,9713,26111
georgia,turner,Hillary Clinton,1246,3398
georgia,twiggs,Hillary Clinton,1971,4059
georgia,union,Hillary Clinton,1963,12063
georgia,upson,Hillary Clinton,3475,10934
georgia,walker,Hillary Clinton,4215,23956
georgia,walton,Hillary Clinton,8292,40698
georgia,ware,Hillary Clinton,3440,12184
georgia,warren,Hillary Clinton,1314,2334
georgia,washington,Hillary Clinton,4200,8461
georgia,wayne,Hillary Clinton,2041,10413
georgia,webster,Hillary Clinton,473,1116
georgia,wheeler,Hillary Clinton,646,2102
georgia,white,Hillary Clinton,1674,11823
georgia,whitfield,Hillary Clinton,7937,30658
georgia,wilcox,Hillary Clinton,852,2976
georgia,wilkes,Hillary Clinton,1848,4486
georgia,wilkinson,Hillary Clinton,1894,4287
georgia,worth,Hillary Clinton,2020,8295
hawaii,hawaii,Hillary Clinton,41259,64867
hawaii,honolulu,Hillary Clinton,175696,285790
hawaii,kauai,Hillary Clinton,16456,26335
hawaii,maui,Hillary Clinton,33480,51945
idaho,ada,Hillary Clinton,75677,195669
idaho,adams,Hillary Clinton,415,2183
idaho,bannock,Hillary Clinton,10342,33416
idaho,bear lake,Hillary Clinton,255,2928
idaho,benewah,Hillary Clinton,770,4185
idaho,bingham,Hillary Clinton,2924,16625
idaho,blaine,Hillary Clinton,6416,10724
idaho,boise,Hillary Clinton,777,3814
idaho,bonner,Hillary Clinton,5819,20943
idaho,bonneville,Hillary Clinton,8930,44221
idaho,boundary,Hillary Clinton,933,5163
idaho,butte,Hillary Clinton,160,1230
idaho,camas,Hillary Clinton,110,590
idaho,canyon,Hillary Clinton,16883,72785
idaho,caribou,Hillary Clinton,271,3035
idaho,cassia,Hillary Clinton,1036,8178
idaho,clark,Hillary Clinton,44,283
idaho,clearwater,Hillary Clinton,704,3801
idaho,custer,Hillary Clinton,427,2414
