County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Cottle,Trump +65,R+67.6,100%,662,491
Glasscock,Trump +88,R+85.9,100%,653,487
Motley,Trump +86,R+85.5,100%,652,443
Sterling,Trump +83,R+75.7,100%,639,484
Foard,Trump +63,R+52.6,100%,551,412
Roberts,Trump +93,R+91,100%,550,364
McMullen,Trump +79,R+83,100%,516,366
Kent,Trump +79,R+69.4,100%,462,324
Terrell,Trump +47,R+33.8,100%,458,360
Borden,Trump +92,R+81.9,100%,416,310
Kenedy,Trump +32,D+8.1,100%,194,129
King,Trump +90,R+90.6,100%,159,Ñ
Loving,Trump +85,R+83.1,100%,66,45
