Features,IDs
"[1, 0, 0, 1, 1, 1, 1, 1, 10.2629, 0, 2.9901999999999997, 0, 0, 2.9769, 0.5891, 0, 0, 4.8862, 3.786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8198999999999996, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0]",349256461824404
"[1, 0, 0, 1, 1, 1, 1, 1, 8.655899999999999, 0, 0, 0, 0, 6.7676, 0.9567, 0, 0, 4.7329, 3.6725000000000003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",349256461824404
"[1, 1, 1, 1, 1, 1, 1, 1, 6.7271, 0, 9.4714, 0, 0, 0, 0, 0, 0, 0.409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5834, 7.879300000000001, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0]",252953504856827
"[1, 0, 0, 1, 1, 1, 1, 1, 7.934200000000001, 0.9988, 0.5208, 0, 0, 4.9751, 0.9961, 0.992, 0, 2.9846000000000004, 4.9192, 0, 0, 0, 0, 0, 0, 0.9209, 0, 0, 1.9968, 0.6548, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]",1615856175313513
"[1, 0, 0, 1, 1, 1, 1, 1, 19.560400000000005, 0.9947, 4.8908000000000005, 0, 0, 9.8496, 2.5073, 2.5059, 0, 6.973800000000001, 9.852500000000001, 2.9841, 0.9398, 0.8047, 0, 0, 0, 0, 0, 1.6974, 6.9577, 0, 0.9603, 0, 0, 2, 2, 2, 3, 2, 4, 3, 2, 1, 1, 0, 1, 0, 0, 1]",48886957687
"[1, 1, 0, 1, 1, 1, 1, 1, 7.7745999999999995, 0.994, 7.1697999999999995, 0, 0, 5.9834, 1.9727000000000001, 0, 0, 4.940799999999999, 4.9551, 0.9976, 0, 0, 0, 0, 0, 0, 0, 0, 2.9600999999999997, 0, 0.9957, 0, 0, 1, 2, 0, 1, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 1]",490802541100707
"[1, 1, 1, 1, 1, 1, 1, 1, 20.2434, 5.9596, 9.4873, 0, 0, 19.7412, 5.368, 5.643400000000001, 0, 14.109699999999998, 23.027200000000004, 3.9872000000000005, 0, 0, 0, 0, 0, 1.9542, 0, 1.9931999999999999, 12.735299999999999, 0, 0, 0, 0, 2, 4, 0, 2, 2, 2, 2, 0, 1, 1, 0, 1, 0, 0, 0]",53764033732
"[1, 1, 1, 1, 1, 1, 1, 1, 9.7507, 0, 1.9825, 0, 0, 6.5108999999999995, 1.941, 0, 0, 1.9896, 4.5952, 0, 0, 0, 0, 0, 0, 0, 0, 1.9891, 4.9885, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0]",262490667286450
"[1, 1, 1, 1, 1, 1, 1, 1, 5.3527000000000005, 0.997, 6.3508, 0, 0, 3.9539, 1.56, 0, 0, 0.9646, 1.9968, 0, 0, 0, 0, 0, 0, 0, 0, 3.968, 6.972099999999999, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",264075480275975
"[1, 1, 1, 1, 1, 1, 1, 1, 7.1912, 1.9753, 9.565900000000001, 0, 0, 6.9235999999999995, 0.9869, 0.9992, 0, 3.8289, 2.9945, 0, 0.8971, 0, 0.95, 0, 0, 0.9964, 0, 0, 2.9933, 0.5634, 0, 0, 0, 3, 5, 2, 1, 3, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1]",408193579306301
