Features,IDs
"[1, 0, 0, 1, 0, 0, 0, 1, 1.8053, 0, 0.9988, 0, 0.7085, 1.8814, 0, 0, 0, 0, 0.9994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 0, 0, 1, 0, 0.9986, 0.9778, 0, 0, 1.9638, 1.0925, 0.9832, 0, 0, 0.9995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9989, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",113523748745557
"[1, 0, 0, 1, 1, 1, 1, 1, 14.850900000000001, 3.9299999999999997, 6.1143, 0, 0, 10.6343, 5.5463000000000005, 1.8604, 0, 7.853, 9.5254, 2.9931, 0, 0, 0, 0, 0.9144, 0, 0, 0, 6.574, 0.8351, 0, 0, 0, 1, 2, 4, 4, 2, 3, 4, 1, 1, 1, 0, 1, 0, 0, 0]",408282242636625
"[1, 1, 1, 1, 1, 1, 1, 1, 6.6056, 0, 4.9615, 0, 0, 3.787, 5.9947, 1.9683000000000002, 0, 3.9367, 1.9405000000000001, 0.9985, 0, 0, 0, 0, 0, 0, 0, 1.8782, 2.9915000000000003, 0, 0.8904, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 1, 1, 1, 2.9290000000000003, 0.7123, 0.9916, 0, 0, 2.4462, 1.9786000000000001, 0.989, 0.7701, 0, 2.9691, 0, 0, 0, 0, 0, 0, 0, 0, 0.8897, 1.9971999999999999, 0, 0, 0, 0, 5, 8, 4, 5, 3, 6, 7, 0, 1, 1, 0, 1, 0, 1, 0]",408282242636625
"[1, 1, 1, 1, 1, 1, 1, 1, 22.2521, 3.5141999999999998, 2.3832999999999998, 0, 0, 22.174400000000002, 5.9933, 4.9041999999999994, 0.9701, 8.4628, 21.1261, 3.9728, 0.3454, 0, 0, 0, 0, 0, 0, 0.9857, 15.9327, 0, 6.959300000000001, 0, 0, 2, 5, 0, 2, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1]",1468086266815937
"[1, 1, 1, 1, 1, 1, 1, 1, 1.9924, 1.9990999999999999, 1.8578999999999999, 0, 0, 3.7487, 0, 0, 0, 0.9862, 3.9705, 0.9986, 0, 0, 0, 0, 0, 0, 0, 0.7905, 1.9964, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1]",52850385745
"[1, 1, 0, 1, 1, 1, 1, 1, 7.011299999999999, 1.9854, 18.8152, 0, 0, 3.1672, 0, 1.0309, 0, 1.9677, 2.5241999999999996, 0, 0, 0, 0, 0, 0, 0, 0, 0.9968, 8.8536, 8.611799999999999, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",408282242636625
"[1, 0, 0, 1, 1, 1, 1, 1, 5.3020000000000005, 4.9758, 4.1796, 0, 0, 7.8124, 0, 0, 0, 3.8222, 2.9877, 1.9944, 0, 0, 0, 0, 0, 0, 0, 0.9941, 3.9869, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",408282242636625
"[1, 0, 0, 1, 1, 1, 1, 0, 4.8561, 0.9774, 8.8767, 0, 0, 11.495199999999999, 1.4086, 0.9967, 0, 4.5256, 3.9907, 0.9961, 0, 0, 1.9020000000000001, 0, 0, 0, 0, 1.9242, 8.9438, 0, 0.9614, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",113523748745557
"[1, 0, 0, 1, 1, 1, 1, 1, 6.569, 2.9488000000000003, 6.812199999999999, 0, 0, 13.035899999999998, 4.5681, 1.9949, 0, 2.992, 5.5458, 2.9887, 1.797, 0, 1.6457000000000002, 0, 0, 0, 0, 3.1001000000000003, 9.95, 0, 0.9473, 0, 0, 1, 4, 2, 2, 3, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1]",113523748745557
